createddate,approval_type,rate
2021-03-01,Approval,0.51799336
2021-03-01,Disapproval,0.42421348000000003
2021-03-10,Approval,0.52103049
2021-03-10,Disapproval,0.38296230000000003
2021-03-10,Approval,0.54659613
2021-03-10,Disapproval,0.40463042
2021-03-10,Approval,0.51474502
2021-03-10,Disapproval,0.40544992999999996
2021-03-10,Approval,0.57659613
2021-03-10,Disapproval,0.40463042
2021-03-10,Approval,0.52552327
2021-03-10,Disapproval,0.41745196999999995
2021-03-10,Approval,0.51485593
2021-03-10,Disapproval,0.40587670000000003
2021-03-10,Approval,0.54553495
2021-03-10,Disapproval,0.39131167
2021-03-10,Approval,0.51556831
2021-03-10,Disapproval,0.40042389
2021-03-10,Approval,0.51266469
2021-03-10,Disapproval,0.39489514
2021-03-10,Approval,0.52275136
2021-03-10,Disapproval,0.38571053
2021-03-10,Approval,0.5076311299999999
2021-03-10,Disapproval,0.42859165
2021-03-10,Approval,0.56606598
2021-03-10,Disapproval,0.38669508
2021-03-10,Approval,0.52799336
2021-03-10,Disapproval,0.42421348000000003
2021-03-10,Approval,0.53413204
2021-03-10,Disapproval,0.40128003999999995
2021-03-11,Approval,0.52659613
2021-03-11,Disapproval,0.39463042000000004
2021-03-11,Approval,0.52659613
2021-03-11,Disapproval,0.39463042000000004
2021-03-11,Approval,0.52659613
2021-03-11,Disapproval,0.39463042000000004
2021-03-11,Approval,0.52659613
2021-03-11,Disapproval,0.39463042000000004
2021-03-11,Approval,0.53659613
2021-03-11,Disapproval,0.39463042000000004
2021-03-11,Approval,0.52420367
2021-03-11,Disapproval,0.41954387
2021-03-11,Approval,0.53659613
2021-03-11,Disapproval,0.39463042000000004
2021-03-11,Approval,0.53659613
2021-03-11,Disapproval,0.39463042000000004
2021-03-11,Approval,0.49945619999999996
2021-03-11,Disapproval,0.41825654
2021-03-11,Approval,0.52552327
2021-03-11,Disapproval,0.40745197
2021-03-11,Approval,0.61485593
2021-03-11,Disapproval,0.40587670000000003
2021-03-11,Approval,0.52737007
2021-03-11,Disapproval,0.40029437
2021-03-11,Approval,0.52553495
2021-03-11,Disapproval,0.38131167
2021-03-11,Approval,0.52553495
2021-03-11,Disapproval,0.38131167
2021-03-11,Approval,0.52553495
2021-03-11,Disapproval,0.38131167
2021-03-11,Approval,0.52553495
2021-03-11,Disapproval,0.38131167
2021-03-11,Approval,0.53553495
2021-03-11,Disapproval,0.38131167
2021-03-11,Approval,0.52443579
2021-03-11,Disapproval,0.41348099
2021-03-11,Approval,0.53553495
2021-03-11,Disapproval,0.38131167
2021-03-11,Approval,0.49867191
2021-03-11,Disapproval,0.40948830999999997
2021-03-11,Approval,0.53553495
2021-03-11,Disapproval,0.38131167
2021-03-11,Approval,0.61266469
2021-03-11,Disapproval,0.39489514
2021-03-11,Approval,0.52492812
2021-03-11,Disapproval,0.39023597000000004
2021-03-11,Approval,0.48944268999999996
2021-03-11,Disapproval,0.42705105000000004
2021-03-11,Approval,0.52799336
